1;Lori Garcia;42;11, 13, 9, 8, 15, 5, 20, 3, 19, 14
2;Moses Schmidt;53;1, 18, 13, 10, 16, 8, 17, 15, 4, 2
3;Caleb Green;45;9, 1, 13, 8, 17, 12, 4, 20, 18, 5
4;Theodore Reed;26;12, 11, 4, 16, 2, 10, 1, 15, 14, 5
5;Gwen Gill;37;8, 4, 10, 11, 3, 9, 20, 7, 16, 19
6;Brandi Cooper;54;6, 12, 7, 2, 1, 9, 5, 17, 3, 14
7;Ada Goodman;29;8, 12, 11, 4, 3, 9, 5, 18, 16, 10
8;Howard Houston;37;7, 1, 16, 10, 12, 14, 15, 13, 20, 5
9;Lewis Carr;43;18, 19, 6, 15, 1, 20, 8, 17, 3, 9
10;Clint Palmer;17;9, 12, 2, 18, 7, 20, 1, 13, 5, 15
11;Marta Romero;40;14, 10, 18, 6, 7, 8, 19, 2, 9, 13
12;Jeannie Russell;38;12, 13, 6, 1, 8, 10, 7, 3, 14, 17
13;Beatrice Carter;35;6, 20, 19, 15, 12, 16, 11, 8, 14, 2
14;Kenneth Schwartz;18;9, 19, 4, 17, 20, 7, 13, 5, 6, 8
15;Gladys Wilson;52;14, 6, 20, 2, 7, 4, 9, 3, 1, 18
16;Lawrence Holloway;28;13, 3, 16, 11, 18, 20, 2, 17, 5, 4
17;Hazel Howell;31;12, 15, 1, 4, 5, 20, 14, 8, 9, 18
18;Jessie Nguyen;54;14, 19, 16, 8, 12, 18, 13, 17, 7, 10
19;Elbert Weber;46;6, 5, 15, 1, 19, 8, 16, 20, 7, 9
20;April Fisher;43;12, 2, 1, 4, 13, 8, 3, 14, 15, 11
